0: 0x0
1: 0x2
2: 0x5
3: 0x7
4: 0xa
5: 0xc
6: 0xf
7: 0x12
8: 0x15
9: 0x19
10: 0x1c
11: 0x21
12: 0x25
13: 0x2a
14: 0x2f
15: 0x35
16: 0x3b
17: 0x41
18: 0x48
19: 0x4f
20: 0x56
21: 0x5e
22: 0x66
23: 0x6f
24: 0x78
25: 0x82
26: 0x8c
27: 0x96
28: 0xa1
29: 0xac
30: 0xb8
31: 0xc4
32: 0xd0
33: 0xdd
34: 0xeb
35: 0xf9
36: 0x107
37: 0x116
38: 0x126
39: 0x136
40: 0x146
41: 0x157
42: 0x168
43: 0x17a
44: 0x18d
45: 0x1a0
46: 0x1b3
47: 0x1c7
48: 0x1db
49: 0x1f0
50: 0x206
51: 0x21c
52: 0x232
53: 0x24a
54: 0x261
55: 0x27a
56: 0x292
57: 0x2ac
58: 0x2c6
59: 0x2e0
60: 0x2fb
61: 0x317
62: 0x333
63: 0x350
64: 0x36d
65: 0x38b
66: 0x3a9
67: 0x3c8
68: 0x3e8
69: 0x408
70: 0x429
71: 0x44b
72: 0x46d
73: 0x490
74: 0x4b3
75: 0x4d7
76: 0x4fb
77: 0x521
78: 0x546
79: 0x56d
80: 0x594
81: 0x5bc
82: 0x5e4
83: 0x60d
84: 0x637
85: 0x661
86: 0x68c
87: 0x6b7
88: 0x6e3
89: 0x710
90: 0x73e
91: 0x76c
92: 0x79b
93: 0x7ca
94: 0x7fb
95: 0x82b
96: 0x85d
97: 0x88f
98: 0x8c2
99: 0x8f6
100: 0x92a
101: 0x95f
102: 0x994
103: 0x9cb
104: 0xa02
105: 0xa39
106: 0xa72
107: 0xaab
108: 0xae5
109: 0xb1f
110: 0xb5b
111: 0xb97
112: 0xbd3
113: 0xc11
114: 0xc4f
115: 0xc8e
116: 0xccd
117: 0xd0d
118: 0xd4e
119: 0xd90
120: 0xdd3
121: 0xe1a
122: 0xe62
123: 0xeac
124: 0xef5
125: 0xf40
126: 0xf8c
127: 0xfff
